kuerzel	HN
korrekturkurs0	EF N
häufigkeit0	2
dauer0	2
schreiber0	18
bemerkung0	
andereeingabe0	
nicht0	
korrekturkurs1	Q1 N
häufigkeit1	2
dauer1	2
schreiber1	24
bemerkung1	
andereeingabe1	
nicht1	
korrekturkurs2	Q2 N
häufigkeit2	2
dauer2	3
schreiber2	18
bemerkung2	
andereeingabe2	
nicht2	
korrekturkurs3	Q2 N
häufigkeit3	2
dauer3	3
schreiber3	21
bemerkung3	
andereeingabe3	
nicht3	
korrekturkurs4	EF Sw
häufigkeit4	1
dauer4	2
schreiber4	11
bemerkung4	
andereeingabe4	
nicht4	
korrekturkurs5	Q1 Sw
häufigkeit5	2
dauer5	2
schreiber5	11
bemerkung5	
andereeingabe5	
nicht5	
klassenleitung_janein	nein
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
