kuerzel	WEL
korrekturkurs0	8d M
häufigkeit0	2
dauer0	60
dauer_anders0	
schreiber0	29
bemerkung0	
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	9b M
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	30
bemerkung1	
nachschr1	1
andereeingabe1	
nicht1	
abi_erst2	Q2 M-GK3
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	8
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
klassenleitung_janein	ja
klassenleitung_klasse	9b
klassenleitung_nr	2
klassenleitung_aufteilung	60/60
kommentar	Ich weiß nicht, ob das hiert mit angegeben werden muss. Ich habe zwei mündliche A4-Prüfungen, ggf. A3 mündlich steht noch aus.
