kuerzel	HD
deputat_korrekt_janein	ja
deputat_berichtigung	
korrekturkurs0	9c M
häufigkeit0	2
dauer0	1
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	0
andereeingabe0	
nicht0	
abi_erst1	Q2 M-GK2
häufigkeit1	normalGK
dauer1	Abi
dauer_anders1	
schreiber1	5
bemerkung1	
nachschr1	nein
andereeingabe1	
nicht1	
abi_erst2	Q2 M-GK3
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	7
bemerkung2	
nachschr2	1
andereeingabe2	
nicht2	
abi_mue_A4_fach_und_kursart3	M GK
abi_A4_mue_bloecke3	4
abi_mue_bemerkung3	
klassenleitung_janein	ja
klassenleitung_klasse	9c
klassenleitung_nr	1
klassenleitung_aufteilung	90
kommentar	
