kuerzel	KIH
korrekturkurs0	Q1 E-LK
häufigkeit0	1
dauer0	180
dauer_anders0	
schreiber0	22
bemerkung0	zwei davon sind Facharbeiten
facharbeiten0	2
nachschr0	1
andereeingabe0	
nicht0	
korrekturkurs1	Q1 I-GK
häufigkeit1	1
dauer1	135
dauer_anders1	
schreiber1	10
bemerkung1	
nachschr1	0
andereeingabe1	
nicht1	
abi_erst2	Q2 E-GK2
häufigkeit2	normalGK
dauer2	Abi
dauer_anders2	
schreiber2	7
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_erst3	Q2 Ge-GK1
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	2
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 I-GK von TE
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	1
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
klassenleitung_klasse	
klassenleitung_aufteilung	
kommentar	
