kuerzel	WAA
korrekturkurs0	9a F6
häufigkeit0	2
dauer0	60
dauer_anders0	
schreiber0	19
bemerkung0	
nachschr0	2
andereeingabe0	
nicht0	
korrekturkurs1	Q2 Bi-GK
häufigkeit1	2
dauer1	3
dauer_anders1	
schreiber1	6
bemerkung1	Für eine Klausur musste ich sogar 2 Nachschreibarbeiten stellen 
nachschr1	3
andereeingabe1	
nicht1	
klassenleitung_janein	ja
klassenleitung_klasse	
klassenleitung_nr	1
klassenleitung_aufteilung	Je 60 Punkte STP + WAA
kommentar	Im Feld für Anzahl schreitende SuS konnte ich nichts eintragen, daher hier: 6
