kuerzel	PAT
korrekturkurs0	7c D
häufigkeit0	1
dauer0	60
dauer_anders0	
schreiber0	27
bemerkung0	
nachschr0	ja
andereeingabe0	
nicht0	
korrekturkurs1	EF Sw-GK
häufigkeit1	1
dauer1	2
dauer_anders1	
schreiber1	14
bemerkung1	
nachschr1	ja
andereeingabe1	
nicht1	
korrekturkurs2	Q1 Sw-GK
häufigkeit2	1
dauer2	135
dauer_anders2	
schreiber2	12
bemerkung2	
nachschr2	nein
andereeingabe2	
nicht2	
abi_erst3	Q2 D-GK4
häufigkeit3	normalGK
dauer3	Abi
dauer_anders3	
schreiber3	5
bemerkung3	
nachschr3	nein
andereeingabe3	
nicht3	
abi_zweit4	Q2 Sw-GK1 von HN
häufigkeit4	normalGK
dauer4	Abi
dauer_anders4	
schreiber4	5
bemerkung4	
nachschr4	nein
andereeingabe4	
nicht4	
abi_zweit5	Q2 Sw-GK2 von HN
häufigkeit5	normalGK
dauer5	Abi
dauer_anders5	
schreiber5	1
bemerkung5	
nachschr5	nein
andereeingabe5	
nicht5	
klassenleitung_janein	ja
klassenleitung_klasse	7c
klassenleitung_nr	1
klassenleitung_aufteilung	
kommentar	
